Γùç injected env (2) from .env // tip: Γùê secrets for agents [www.dotenvx.com]
Server running on http://localhost:3000
2026-06-12T07:52:16.294Z - GET /src/pages/Dashboard.tsx
2026-06-12T07:52:16.294Z - GET /src/pages/WhatIfSimulator.tsx
2026-06-12T07:52:16.294Z - GET /src/pages/Missions.tsx
2026-06-12T07:52:16.295Z - GET /src/pages/Profile.tsx
2026-06-12T07:52:16.295Z - GET /src/pages/ActionPlan.tsx
2026-06-12T07:52:16.295Z - GET /src/pages/Insights.tsx
2026-06-12T07:52:16.296Z - GET /src/pages/FootprintBreakdown.tsx
2026-06-12T07:52:16.297Z - GET /src/pages/DetailedAnalysis.tsx
2026-06-12T07:52:16.297Z - GET /src/pages/Chat.tsx
2026-06-12T07:52:16.298Z - GET /src/pages/Login.tsx
2026-06-12T07:52:16.298Z - GET /src/pages/Leaderboard.tsx
2026-06-12T07:52:16.298Z - GET /src/pages/ActivityHistory.tsx
2026-06-12T07:52:16.299Z - GET /src/pages/Settings.tsx
2026-06-12T07:52:16.299Z - GET /src/store.ts
2026-06-12T07:52:16.299Z - GET /src/components/auth/AuthContext.tsx
2026-06-12T07:52:16.301Z - GET /src/components/layout/Sidebar.tsx
2026-06-12T07:52:16.302Z - GET /src/components/layout/MobileNav.tsx
2026-06-12T07:52:16.302Z - GET /src/components/ui/card.tsx
2026-06-12T07:52:16.302Z - GET /src/components/ui/button.tsx
2026-06-12T07:52:16.303Z - GET /src/components/ui/slider.tsx
2026-06-12T07:52:16.303Z - GET /src/components/ui/label.tsx
2026-06-12T07:52:16.303Z - GET /src/components/ui/progress.tsx
2026-06-12T07:52:16.304Z - GET /src/lib/report-generator.ts
2026-06-12T07:52:16.304Z - GET /src/components/layout/NotificationsPopover.tsx
2026-06-12T07:52:16.304Z - GET /src/components/dashboard/HabitManager.tsx
2026-06-12T07:52:16.305Z - GET /src/components/dashboard/ActionModal.tsx
2026-06-12T07:52:16.305Z - GET /src/lib/utils.ts
2026-06-12T07:52:16.305Z - GET /src/components/ui/dialog.tsx
2026-06-12T07:52:16.306Z - GET /src/lib/firebase.ts
2026-06-12T07:52:16.306Z - GET /src/lib/firestore-utils.ts
2026-06-12T07:52:16.306Z - GET /src/components/profile/ProfileModals.tsx
2026-06-12T07:52:16.307Z - GET /src/components/ui/input.tsx
2026-06-12T07:52:16.307Z - GET /src/components/settings/SettingsModals.tsx
2026-06-12T07:52:16.307Z - GET /src/types.ts
2026-06-12T07:52:16.310Z - GET /firebase-applet-config.json?import
[2m1:22:16 pm[22m [36m[1m[vite][22m[39m [90m[2m(client)[22m[39m [32mpage reload [39m[2mserver-log.txt[22m
2026-06-12T07:52:16.738Z - GET /chat
2026-06-12T07:52:16.794Z - GET /src/main.tsx?t=1781250736674
2026-06-12T07:52:16.794Z - GET /@vite/client
2026-06-12T07:52:16.795Z - GET /@react-refresh
[2m1:22:16 pm[22m [36m[1m[vite][22m[39m [90m[2m(client)[22m[39m [32mpage reload [39m[2mserver-log.txt[22m
2026-06-12T07:52:16.797Z - GET /src/index.css?t=1781250736674
2026-06-12T07:52:16.798Z - GET /src/App.tsx
2026-06-12T07:52:16.798Z - GET /node_modules/vite/dist/client/env.mjs
2026-06-12T07:52:16.838Z - GET /src/components/layout/AppLayout.tsx
2026-06-12T07:52:16.838Z - GET /src/components/onboarding/Onboarding.tsx
2026-06-12T07:52:16.838Z - GET /src/pages/Dashboard.tsx
2026-06-12T07:52:16.838Z - GET /src/pages/WhatIfSimulator.tsx
2026-06-12T07:52:16.838Z - GET /src/pages/Missions.tsx
2026-06-12T07:52:16.839Z - GET /src/pages/Profile.tsx
